akameco/pixivdeck,99,0,178,20
plotly/dash-daq,227,0,227,0, [had to update package.json. then got TypeError: expect(...).toHaveStyle is not a function (.toHaveAttribute too).  TestingLibraryElementError: Unable to find an element by: [data-testid="testId"] ]
react-bootstrap/react-router-bootstrap,45,0,49,41, [SyntaxError: '[object Object]' is not a valid selector. updated package_json_file]
ryanhefner/react-scroll-trigger,14,0,22,6, [no updates required to run it. 8 passed and 6 failed from migration. test failure: Expected: 0 Received: undefined]
zoltantothcom/design-patterns-javascript,127,0,204,48, [ TestingLibraryElementError: Unable to find an element with the text: /your expected text/i. TestingLibraryElementError: Unable to find an element by: [data-testid="button-container"]]
oklas/react-breadcrumbs-dynamic,32,0,36,33, [TestingLibraryElementError: Unable to find an element with the text. TestingLibraryElementError: Found multiple elements with the role "button"]
diegohaz/arc,114,0,135,93, [TypeError: expect(...).toBeInTheDocument is not a function. TestingLibraryElementError: Unable to find an element with the text]
adriantoine/enzyme-to-json,130,0,253,7, [ A React component suspended while rendering. but no fallback UI was specified. Add a <Suspense fallback=...> component higher in the tree to provide a loading indicator or placeholder to display.. An error was thrown inside one of your components. but React doesn't know what it was. Expected number of calls: 1 Received number of calls: 0]
wwwaiser/react-js-pagination,25,0,27,23, [TypeError: expect(...).toHaveClass is not a function. It looks like undefined was passed instead of a matcher. Did you do something like getByText(undefined)]
oayres/react-ssr,14,0,16,0, [Cannot find module 'react-dom/client' from 'pure.js']
webscopeio/react-textarea-autocomplete,53,0,69,37, [TypeError: expect(...).toBeInTheDocument is not a function. TestingLibraryElementError: Unable to find an accessible element with the role "option". Expected length: 3 Received length: 0 Received object: []]
maurocarrero/sinon-jest-cheatsheet,60,0,85,0, [ TypeError: $toString is not a function. SyntaxError: Cannot use import statement outside a module]
hideoo/intro.js-react,40,0,41,10, [TypeError: Cannot read properties of null (reading 'hideHints'). TestingLibraryElementError: Unable to find an element with the text]
lawnstarter/react-native-picker-select,32,0,32,0, [worked well but it migrated 'shallow' to 'render' which isn't enzyme specific]
busyorg/busy,68,0,68,7, [Invariant Violation: [React Intl] Could not find required `intl` object. <IntlProvider> needs to exist in the component ancestry.]
signavio/react-mentions,108,0,133,7, [Cannot find module 'react-dom/client' from 'pure.js'. it created multiple tests that were labeled as 'todo' (interesting)]
khan/math-input,103,0,174,25, [had to update the jest config file (false positive here but notice no icnreased test amounts). after running migrated tests: Element type is invalid: expected a string (for built-in components) or a class/function (for composite components) but got: undefined.. Expected: "IN_PARENS" Received: undefined]
kevinsqi/react-calendar-heatmap,36,0,64,8, [TestingLibraryElementError: Unable to find an element by: [data-testid="rect"]. TypeError: expect(...).toBeInTheDocument is not a function]
auth0/lock,401,0,720,85, [TestingLibraryElementError: Unable to find an accessible element with the role "button". ReferenceError: React is not defined. Objects are not valid as a React child]
hypeserver/react-date-range,12,0,13,0, [Not a good candidate. Cannot find module 'react-dom/client' from 'pure.js']
react-grid-layout/react-resizable,25,0,29,21,29,21, [TypeError: Handle.prop is not a function. TypeError: Cannot read properties of null (reading 'parentElement').  TypeError: Cannot convert undefined or null to object at Function.keys (<anonymous>)]
